timestamp,operating_time_sec,temperature_c,vibration_g,current_a,rpm,fault_type
2025-01-15 09:00:00,0,59.98,0.1964,9.951,1499.1,bearing_wear
2025-01-15 09:00:01,1,59.94,0.1991,9.982,1498.3,bearing_wear
2025-01-15 09:00:02,2,60.03,0.2,10.064,1496.7,bearing_wear
2025-01-15 09:00:03,3,59.89,0.2021,10.01,1496.4,bearing_wear
2025-01-15 09:00:04,4,60.15,0.198,10.046,1502.4,bearing_wear
2025-01-15 09:00:05,5,60.06,0.1998,10.029,1501.8,bearing_wear
2025-01-15 09:00:06,6,60.1,0.1996,9.968,1496.9,bearing_wear
2025-01-15 09:00:07,7,59.97,0.1997,10.027,1503.3,bearing_wear
2025-01-15 09:00:08,8,60.24,0.1987,9.984,1498.5,bearing_wear
2025-01-15 09:00:09,9,59.96,0.2006,9.984,1503.4,bearing_wear
2025-01-15 09:00:10,10,59.94,0.2004,10.005,1496.3,bearing_wear
2025-01-15 09:00:11,11,60.08,0.2004,9.924,1500.7,bearing_wear
2025-01-15 09:00:12,12,59.84,0.2003,10.06,1494.2,bearing_wear
2025-01-15 09:00:13,13,59.91,0.1997,9.966,1500.2,bearing_wear
2025-01-15 09:00:14,14,60.07,0.1957,10.05,1503.0,bearing_wear
2025-01-15 09:00:15,15,59.91,0.2,10.007,1499.7,bearing_wear
2025-01-15 09:00:16,16,59.78,0.2026,10.077,1497.7,bearing_wear
2025-01-15 09:00:17,17,59.99,0.1956,9.967,1502.8,bearing_wear
2025-01-15 09:00:18,18,60.09,0.2032,9.984,1503.0,bearing_wear
2025-01-15 09:00:19,19,59.99,0.1976,10.017,1501.4,bearing_wear
2025-01-15 09:00:20,20,60.11,0.1982,9.89,1503.8,bearing_wear
2025-01-15 09:00:21,21,59.94,0.2026,10.041,1500.0,bearing_wear
2025-01-15 09:00:22,22,59.83,0.2003,10.077,1498.4,bearing_wear
2025-01-15 09:00:23,23,59.94,0.1991,10.056,1500.7,bearing_wear
2025-01-15 09:00:24,24,60.0,0.1976,10.038,1500.9,bearing_wear
2025-01-15 09:00:25,25,59.97,0.1986,9.993,1496.1,bearing_wear
2025-01-15 09:00:26,26,59.97,0.2025,10.064,1499.0,bearing_wear
2025-01-15 09:00:27,27,60.01,0.2008,10.054,1497.3,bearing_wear
2025-01-15 09:00:28,28,60.08,0.2006,10.02,1496.4,bearing_wear
2025-01-15 09:00:29,29,59.91,0.1974,10.0,1494.6,bearing_wear
2025-01-15 09:00:30,30,59.99,0.2006,9.982,1497.0,bearing_wear
2025-01-15 09:00:31,31,59.95,0.1969,9.938,1503.9,bearing_wear
2025-01-15 09:00:32,32,60.0,0.2018,10.061,1498.9,bearing_wear
2025-01-15 09:00:33,33,60.02,0.2003,9.891,1494.7,bearing_wear
2025-01-15 09:00:34,34,60.06,0.2015,9.981,1496.7,bearing_wear
2025-01-15 09:00:35,35,59.92,0.2022,10.008,1504.4,bearing_wear
2025-01-15 09:00:36,36,59.91,0.1956,10.043,1502.2,bearing_wear
2025-01-15 09:00:37,37,59.95,0.2,10.088,1499.7,bearing_wear
2025-01-15 09:00:38,38,60.01,0.1994,10.05,1501.5,bearing_wear
2025-01-15 09:00:39,39,59.96,0.1995,9.985,1498.7,bearing_wear
2025-01-15 09:00:40,40,59.95,0.1984,10.036,1499.5,bearing_wear
2025-01-15 09:00:41,41,60.17,0.201,9.937,1502.6,bearing_wear
2025-01-15 09:00:42,42,59.86,0.1984,10.071,1502.2,bearing_wear
2025-01-15 09:00:43,43,60.13,0.2009,9.992,1499.4,bearing_wear
2025-01-15 09:00:44,44,60.0,0.1984,9.966,1501.1,bearing_wear
2025-01-15 09:00:45,45,59.97,0.1978,9.968,1499.1,bearing_wear
2025-01-15 09:00:46,46,60.01,0.1976,9.997,1499.8,bearing_wear
2025-01-15 09:00:47,47,60.22,0.1969,9.98,1500.0,bearing_wear
2025-01-15 09:00:48,48,59.86,0.1994,10.114,1504.3,bearing_wear
2025-01-15 09:00:49,49,59.98,0.201,9.964,1499.4,bearing_wear
2025-01-15 09:00:50,50,59.97,0.2014,10.002,1502.8,bearing_wear
2025-01-15 09:00:51,51,60.04,0.1991,10.001,1501.4,bearing_wear
2025-01-15 09:00:52,52,59.76,0.1982,10.001,1494.4,bearing_wear
2025-01-15 09:00:53,53,60.1,0.204,10.003,1499.8,bearing_wear
2025-01-15 09:00:54,54,59.9,0.1992,9.976,1496.1,bearing_wear
2025-01-15 09:00:55,55,60.18,0.202,9.971,1501.3,bearing_wear
2025-01-15 09:00:56,56,59.96,0.203,9.957,1504.1,bearing_wear
