timestamp,operating_time_sec,temperature_c,vibration_g,current_a,rpm,fault_type
2025-01-15 09:00:00,0,59.88,0.1994,9.944,1498.3,compound_fault
2025-01-15 09:00:01,1,60.18,0.1955,10.07,1498.1,compound_fault
2025-01-15 09:00:02,2,60.0,0.1996,10.003,1499.3,compound_fault
2025-01-15 09:00:03,3,59.95,0.2018,10.025,1502.1,compound_fault
2025-01-15 09:00:04,4,59.94,0.2003,9.92,1500.5,compound_fault
2025-01-15 09:00:05,5,59.93,0.1996,9.996,1500.8,compound_fault
2025-01-15 09:00:06,6,60.02,0.1974,9.993,1497.2,compound_fault
2025-01-15 09:00:07,7,60.11,0.2001,10.08,1502.5,compound_fault
2025-01-15 09:00:08,8,59.95,0.2025,9.947,1504.2,compound_fault
2025-01-15 09:00:09,9,59.95,0.1991,10.0,1501.9,compound_fault
2025-01-15 09:00:10,10,60.06,0.1994,9.902,1497.6,compound_fault
2025-01-15 09:00:11,11,60.0,0.1988,9.992,1500.6,compound_fault
2025-01-15 09:00:12,12,60.12,0.1983,9.961,1500.7,compound_fault
2025-01-15 09:00:13,13,59.85,0.2008,9.95,1503.0,compound_fault
2025-01-15 09:00:14,14,60.11,0.2032,9.88,1501.0,compound_fault
2025-01-15 09:00:15,15,59.99,0.2025,10.047,1502.7,compound_fault
2025-01-15 09:00:16,16,59.96,0.199,10.021,1497.8,compound_fault
2025-01-15 09:00:17,17,59.81,0.1971,9.963,1498.2,compound_fault
2025-01-15 09:00:18,18,60.02,0.2003,10.014,1498.8,compound_fault
2025-01-15 09:00:19,19,60.02,0.2019,9.969,1499.6,compound_fault
2025-01-15 09:00:20,20,60.11,0.2009,9.928,1504.6,compound_fault
2025-01-15 09:00:21,21,60.12,0.1991,10.098,1497.4,compound_fault
2025-01-15 09:00:22,22,59.94,0.2017,10.099,1505.3,compound_fault
2025-01-15 09:00:23,23,60.21,0.1967,10.042,1496.3,compound_fault
2025-01-15 09:00:24,24,59.91,0.2022,10.017,1499.6,compound_fault
2025-01-15 09:00:25,25,60.01,0.2007,10.017,1497.8,compound_fault
2025-01-15 09:00:26,26,59.89,0.2018,10.046,1496.4,compound_fault
2025-01-15 09:00:27,27,59.8,0.1994,10.033,1500.3,compound_fault
