timestamp,operating_time_sec,temperature_c,vibration_g,current_a,rpm,fault_type
2025-01-15 09:00:00,0,59.99,0.2006,9.93,1503.2,cooling_fault
2025-01-15 09:00:01,1,60.12,0.2004,10.005,1499.9,cooling_fault
2025-01-15 09:00:02,2,59.94,0.1967,9.945,1501.2,cooling_fault
2025-01-15 09:00:03,3,59.96,0.1997,9.939,1498.7,cooling_fault
2025-01-15 09:00:04,4,60.2,0.2023,10.073,1498.3,cooling_fault
2025-01-15 09:00:05,5,60.09,0.1975,10.039,1497.0,cooling_fault
2025-01-15 09:00:06,6,59.97,0.2013,9.951,1500.0,cooling_fault
2025-01-15 09:00:07,7,60.08,0.1981,9.905,1499.4,cooling_fault
2025-01-15 09:00:08,8,59.99,0.1977,10.055,1497.2,cooling_fault
2025-01-15 09:00:09,9,60.01,0.2016,10.056,1501.6,cooling_fault
2025-01-15 09:00:10,10,60.04,0.1963,10.001,1495.6,cooling_fault
2025-01-15 09:00:11,11,59.87,0.1986,9.975,1496.3,cooling_fault
2025-01-15 09:00:12,12,59.86,0.2025,10.059,1497.1,cooling_fault
2025-01-15 09:00:13,13,59.99,0.1989,10.144,1501.0,cooling_fault
2025-01-15 09:00:14,14,60.26,0.196,10.078,1500.5,cooling_fault
2025-01-15 09:00:15,15,60.13,0.1976,9.999,1502.2,cooling_fault
2025-01-15 09:00:16,16,59.95,0.1998,10.021,1498.6,cooling_fault
2025-01-15 09:00:17,17,59.75,0.2023,9.941,1496.7,cooling_fault
2025-01-15 09:00:18,18,60.2,0.1968,9.859,1504.6,cooling_fault
2025-01-15 09:00:19,19,59.96,0.1999,10.014,1497.1,cooling_fault
2025-01-15 09:00:20,20,60.02,0.2002,9.991,1500.6,cooling_fault
2025-01-15 09:00:21,21,59.98,0.2025,10.122,1503.5,cooling_fault
2025-01-15 09:00:22,22,60.03,0.201,10.008,1504.2,cooling_fault
2025-01-15 09:00:23,23,59.94,0.1996,10.079,1497.8,cooling_fault
2025-01-15 09:00:24,24,60.13,0.1992,10.066,1495.0,cooling_fault
2025-01-15 09:00:25,25,59.89,0.2015,9.932,1499.7,cooling_fault
2025-01-15 09:00:26,26,59.96,0.2002,9.981,1501.3,cooling_fault
2025-01-15 09:00:27,27,60.07,0.1992,9.987,1497.8,cooling_fault
2025-01-15 09:00:28,28,60.1,0.1985,9.923,1494.8,cooling_fault
2025-01-15 09:00:29,29,60.18,0.2011,10.03,1498.5,cooling_fault
2025-01-15 09:00:30,30,60.17,0.1991,10.003,1493.7,cooling_fault
2025-01-15 09:00:31,31,60.04,0.1983,9.951,1501.8,cooling_fault
2025-01-15 09:00:32,32,59.87,0.2014,10.012,1505.9,cooling_fault
2025-01-15 09:00:33,33,59.99,0.2006,9.997,1498.3,cooling_fault
2025-01-15 09:00:34,34,59.98,0.1982,10.025,1501.7,cooling_fault
2025-01-15 09:00:35,35,60.02,0.2011,9.984,1497.7,cooling_fault
2025-01-15 09:00:36,36,60.0,0.202,9.988,1497.0,cooling_fault
2025-01-15 09:00:37,37,60.0,0.2005,10.004,1499.3,cooling_fault
2025-01-15 09:00:38,38,60.0,0.2024,10.024,1498.9,cooling_fault
2025-01-15 09:00:39,39,60.13,0.1969,9.998,1502.3,cooling_fault
2025-01-15 09:00:40,40,60.0,0.2039,10.077,1499.1,cooling_fault
2025-01-15 09:00:41,41,60.16,0.2,10.022,1504.2,cooling_fault
2025-01-15 09:00:42,42,60.05,0.2016,9.997,1500.4,cooling_fault
2025-01-15 09:00:43,43,60.02,0.1985,9.97,1497.3,cooling_fault
2025-01-15 09:00:44,44,60.04,0.1973,9.878,1502.7,cooling_fault
2025-01-15 09:00:45,45,60.04,0.2011,9.951,1500.5,cooling_fault
2025-01-15 09:00:46,46,59.9,0.2002,10.01,1497.0,cooling_fault
2025-01-15 09:00:47,47,60.05,0.201,10.015,1497.2,cooling_fault
2025-01-15 09:00:48,48,59.94,0.1973,10.046,1494.8,cooling_fault
2025-01-15 09:00:49,49,59.98,0.2015,9.979,1504.7,cooling_fault
2025-01-15 09:00:50,50,60.01,0.201,10.079,1501.8,cooling_fault
2025-01-15 09:00:51,51,60.11,0.199,9.871,1503.4,cooling_fault
2025-01-15 09:00:52,52,59.96,0.1996,10.027,1502.0,cooling_fault
2025-01-15 09:00:53,53,59.95,0.2018,9.923,1496.4,cooling_fault
2025-01-15 09:00:54,54,59.87,0.2001,10.071,1501.4,cooling_fault
2025-01-15 09:00:55,55,60.07,0.1987,10.041,1500.3,cooling_fault
2025-01-15 09:00:56,56,60.0,0.2019,9.944,1497.9,cooling_fault
2025-01-15 09:00:57,57,60.02,0.1985,9.958,1503.4,cooling_fault
2025-01-15 09:00:58,58,59.91,0.1967,10.053,1506.0,cooling_fault
2025-01-15 09:00:59,59,60.09,0.2042,10.011,1505.0,cooling_fault
2025-01-15 09:01:00,60,60.07,0.1983,9.995,1501.7,cooling_fault
2025-01-15 09:01:01,61,60.01,0.2024,9.958,1500.1,cooling_fault
2025-01-15 09:01:02,62,59.88,0.2017,10.025,1493.9,cooling_fault
2025-01-15 09:01:03,63,59.99,0.1981,9.976,1501.3,cooling_fault
2025-01-15 09:01:04,64,59.94,0.2019,9.976,1503.1,cooling_fault
2025-01-15 09:01:05,65,59.84,0.2002,9.949,1504.1,cooling_fault
2025-01-15 09:01:06,66,59.87,0.2001,10.01,1504.3,cooling_fault
2025-01-15 09:01:07,67,60.06,0.1983,9.99,1504.6,cooling_fault
2025-01-15 09:01:08,68,59.92,0.2015,9.96,1502.2,cooling_fault
2025-01-15 09:01:09,69,59.84,0.2023,9.953,1500.6,cooling_fault
2025-01-15 09:01:10,70,59.99,0.1977,9.984,1501.7,cooling_fault
2025-01-15 09:01:11,71,60.06,0.2031,9.945,1504.1,cooling_fault
2025-01-15 09:01:12,72,60.11,0.2013,10.066,1504.4,cooling_fault
2025-01-15 09:01:13,73,59.87,0.1953,10.029,1498.1,cooling_fault
2025-01-15 09:01:14,74,59.96,0.1947,9.969,1498.6,cooling_fault
2025-01-15 09:01:15,75,60.07,0.1996,10.091,1501.4,cooling_fault
2025-01-15 09:01:16,76,59.98,0.1991,9.928,1502.1,cooling_fault
2025-01-15 09:01:17,77,60.03,0.2,10.034,1501.8,cooling_fault
2025-01-15 09:01:18,78,59.86,0.1989,10.013,1504.5,cooling_fault
2025-01-15 09:01:19,79,59.87,0.202,9.972,1499.9,cooling_fault
2025-01-15 09:01:20,80,60.21,0.1981,10.064,1497.3,cooling_fault
2025-01-15 09:01:21,81,60.05,0.199,10.034,1503.6,cooling_fault
2025-01-15 09:01:22,82,60.0,0.2016,10.016,1504.3,cooling_fault
2025-01-15 09:01:23,83,60.0,0.1993,10.111,1498.1,cooling_fault
2025-01-15 09:01:24,84,59.94,0.1985,10.031,1498.4,cooling_fault
2025-01-15 09:01:25,85,59.94,0.1994,10.032,1503.5,cooling_fault
2025-01-15 09:01:26,86,59.82,0.1997,9.995,1500.1,cooling_fault
2025-01-15 09:01:27,87,59.97,0.1996,9.963,1500.8,cooling_fault
2025-01-15 09:01:28,88,59.99,0.1981,10.04,1495.0,cooling_fault
2025-01-15 09:01:29,89,60.03,0.1997,9.946,1493.6,cooling_fault
2025-01-15 09:01:30,90,59.98,0.2001,9.948,1495.9,cooling_fault
2025-01-15 09:01:31,91,60.01,0.199,9.999,1499.2,cooling_fault
2025-01-15 09:01:32,92,60.06,0.2013,9.888,1498.2,cooling_fault
2025-01-15 09:01:33,93,60.08,0.1985,10.009,1503.8,cooling_fault
2025-01-15 09:01:34,94,60.17,0.1982,10.006,1501.3,cooling_fault
2025-01-15 09:01:35,95,60.07,0.2003,10.024,1497.3,cooling_fault
2025-01-15 09:01:36,96,59.94,0.1964,9.933,1503.3,cooling_fault
2025-01-15 09:01:37,97,59.97,0.1994,9.958,1493.1,cooling_fault
2025-01-15 09:01:38,98,59.88,0.1991,9.921,1499.6,cooling_fault
2025-01-15 09:01:39,99,59.94,0.1987,9.925,1500.7,cooling_fault
2025-01-15 09:01:40,100,59.96,0.2028,10.049,1498.1,cooling_fault
2025-01-15 09:01:41,101,60.13,0.2006,10.004,1491.4,cooling_fault
2025-01-15 09:01:42,102,59.99,0.1992,9.944,1501.7,cooling_fault
2025-01-15 09:01:43,103,60.05,0.1995,9.929,1502.5,cooling_fault
2025-01-15 09:01:44,104,59.91,0.1999,9.974,1499.4,cooling_fault
2025-01-15 09:01:45,105,59.98,0.2022,9.959,1500.6,cooling_fault
2025-01-15 09:01:46,106,59.85,0.2019,9.979,1497.2,cooling_fault
2025-01-15 09:01:47,107,60.04,0.1998,10.008,1501.2,cooling_fault
2025-01-15 09:01:48,108,60.16,0.199,10.057,1499.5,cooling_fault
2025-01-15 09:01:49,109,60.07,0.2013,10.023,1502.6,cooling_fault
2025-01-15 09:01:50,110,59.97,0.1973,10.066,1503.2,cooling_fault
2025-01-15 09:01:51,111,59.93,0.2025,10.07,1497.5,cooling_fault
2025-01-15 09:01:52,112,60.02,0.2004,10.018,1500.6,cooling_fault
2025-01-15 09:01:53,113,60.03,0.1993,9.917,1501.0,cooling_fault
2025-01-15 09:01:54,114,60.24,0.201,9.898,1500.2,cooling_fault
2025-01-15 09:01:55,115,59.83,0.2004,10.001,1491.4,cooling_fault
2025-01-15 09:01:56,116,59.91,0.197,10.09,1499.3,cooling_fault
2025-01-15 09:01:57,117,60.0,0.2041,10.064,1497.7,cooling_fault
2025-01-15 09:01:58,118,59.95,0.1971,10.053,1500.6,cooling_fault
2025-01-15 09:01:59,119,60.12,0.1976,9.999,1503.3,cooling_fault
2025-01-15 09:02:00,120,59.93,0.2026,9.973,1496.9,cooling_fault
2025-01-15 09:02:01,121,59.99,0.2011,10.003,1496.6,cooling_fault
2025-01-15 09:02:02,122,59.93,0.1986,9.935,1506.1,cooling_fault
2025-01-15 09:02:03,123,60.19,0.198,10.012,1500.8,cooling_fault
2025-01-15 09:02:04,124,60.21,0.1994,10.031,1497.2,cooling_fault
2025-01-15 09:02:05,125,60.15,0.2018,9.951,1499.6,cooling_fault
2025-01-15 09:02:06,126,60.18,0.1974,10.088,1502.3,cooling_fault
2025-01-15 09:02:07,127,60.32,0.2017,9.968,1498.2,cooling_fault
2025-01-15 09:02:08,128,60.15,0.1979,10.045,1496.5,cooling_fault
2025-01-15 09:02:09,129,60.16,0.2036,10.152,1498.9,cooling_fault
2025-01-15 09:02:10,130,60.42,0.2037,10.001,1500.9,cooling_fault
2025-01-15 09:02:11,131,60.36,0.2054,10.012,1499.7,cooling_fault
2025-01-15 09:02:12,132,60.24,0.2022,10.045,1495.7,cooling_fault
2025-01-15 09:02:13,133,60.44,0.2009,9.945,1499.6,cooling_fault
2025-01-15 09:02:14,134,60.26,0.1981,10.061,1493.2,cooling_fault
2025-01-15 09:02:15,135,60.27,0.1996,10.025,1502.1,cooling_fault
2025-01-15 09:02:16,136,60.38,0.2001,9.996,1498.9,cooling_fault
2025-01-15 09:02:17,137,60.48,0.1992,10.007,1500.6,cooling_fault
2025-01-15 09:02:18,138,60.34,0.2014,9.986,1500.8,cooling_fault
2025-01-15 09:02:19,139,60.27,0.1981,9.989,1497.7,cooling_fault
2025-01-15 09:02:20,140,60.7,0.1977,10.033,1498.9,cooling_fault
2025-01-15 09:02:21,141,60.58,0.199,9.994,1498.2,cooling_fault
2025-01-15 09:02:22,142,60.56,0.2006,10.024,1500.2,cooling_fault
2025-01-15 09:02:23,143,60.52,0.2001,10.032,1500.6,cooling_fault
2025-01-15 09:02:24,144,60.62,0.2024,9.968,1500.4,cooling_fault
2025-01-15 09:02:25,145,60.67,0.2002,10.056,1494.0,cooling_fault
2025-01-15 09:02:26,146,60.48,0.2018,9.992,1502.7,cooling_fault
2025-01-15 09:02:27,147,60.65,0.1971,10.07,1505.3,cooling_fault
2025-01-15 09:02:28,148,60.73,0.201,9.987,1501.9,cooling_fault
2025-01-15 09:02:29,149,60.62,0.1999,9.995,1498.3,cooling_fault
2025-01-15 09:02:30,150,60.87,0.1999,10.012,1500.4,cooling_fault
2025-01-15 09:02:31,151,60.77,0.2028,10.031,1503.2,cooling_fault
2025-01-15 09:02:32,152,60.78,0.2009,10.024,1499.0,cooling_fault
2025-01-15 09:02:33,153,60.89,0.2006,10.043,1500.6,cooling_fault
2025-01-15 09:02:34,154,60.76,0.1998,10.026,1500.7,cooling_fault
2025-01-15 09:02:35,155,60.75,0.1996,10.005,1499.2,cooling_fault
2025-01-15 09:02:36,156,61.13,0.2001,9.98,1501.9,cooling_fault
2025-01-15 09:02:37,157,61.07,0.1988,10.023,1501.8,cooling_fault
2025-01-15 09:02:38,158,60.92,0.203,9.96,1501.2,cooling_fault
2025-01-15 09:02:39,159,60.83,0.1964,10.048,1500.7,cooling_fault
2025-01-15 09:02:40,160,61.03,0.202,9.958,1501.9,cooling_fault
2025-01-15 09:02:41,161,60.94,0.2,9.983,1504.0,cooling_fault
2025-01-15 09:02:42,162,60.91,0.1987,10.065,1500.3,cooling_fault
2025-01-15 09:02:43,163,61.09,0.1997,9.962,1497.7,cooling_fault
