timestamp,operating_time_sec,temperature_c,vibration_g,current_a,rpm,fault_type
2025-01-15 09:00:00,0,59.92,0.2013,10.055,1501.7,normal
2025-01-15 09:00:01,1,59.8,0.2043,9.936,1501.7,normal
2025-01-15 09:00:02,2,60.06,0.2019,10.032,1498.1,normal
2025-01-15 09:00:03,3,60.07,0.1978,9.94,1500.0,normal
2025-01-15 09:00:04,4,59.97,0.1988,10.054,1500.0,normal
2025-01-15 09:00:05,5,60.04,0.2017,9.922,1500.2,normal
2025-01-15 09:00:06,6,60.17,0.1999,9.964,1506.5,normal
2025-01-15 09:00:07,7,60.11,0.2024,9.97,1499.1,normal
2025-01-15 09:00:08,8,60.07,0.1961,9.895,1499.1,normal
2025-01-15 09:00:09,9,60.07,0.2042,10.043,1498.6,normal
2025-01-15 09:00:10,10,59.91,0.2038,9.922,1503.1,normal
2025-01-15 09:00:11,11,60.1,0.1971,9.935,1498.8,normal
2025-01-15 09:00:12,12,59.84,0.1994,9.972,1499.7,normal
2025-01-15 09:00:13,13,59.97,0.1988,10.037,1502.6,normal
2025-01-15 09:00:14,14,59.96,0.1993,9.959,1502.3,normal
2025-01-15 09:00:15,15,59.83,0.202,10.099,1497.1,normal
2025-01-15 09:00:16,16,59.99,0.199,9.999,1505.4,normal
2025-01-15 09:00:17,17,60.16,0.1982,9.986,1500.8,normal
2025-01-15 09:00:18,18,59.97,0.2015,10.022,1502.9,normal
2025-01-15 09:00:19,19,59.88,0.2028,9.993,1501.0,normal
2025-01-15 09:00:20,20,59.99,0.1992,9.947,1505.1,normal
2025-01-15 09:00:21,21,60.09,0.2007,9.973,1499.0,normal
2025-01-15 09:00:22,22,60.02,0.1972,10.008,1498.1,normal
2025-01-15 09:00:23,23,60.0,0.2022,10.079,1501.2,normal
2025-01-15 09:00:24,24,59.86,0.2048,10.013,1504.2,normal
2025-01-15 09:00:25,25,60.05,0.2014,10.024,1500.0,normal
2025-01-15 09:00:26,26,60.05,0.2,9.888,1502.7,normal
2025-01-15 09:00:27,27,60.13,0.196,9.987,1504.7,normal
2025-01-15 09:00:28,28,60.15,0.1995,9.999,1495.8,normal
2025-01-15 09:00:29,29,60.07,0.196,10.088,1504.2,normal
2025-01-15 09:00:30,30,59.84,0.2018,10.08,1503.5,normal
2025-01-15 09:00:31,31,59.86,0.2038,10.006,1498.6,normal
2025-01-15 09:00:32,32,59.89,0.203,10.026,1499.9,normal
2025-01-15 09:00:33,33,60.03,0.2005,9.997,1498.6,normal
2025-01-15 09:00:34,34,59.92,0.2012,9.963,1502.5,normal
2025-01-15 09:00:35,35,60.13,0.1988,10.001,1498.2,normal
2025-01-15 09:00:36,36,60.02,0.2006,9.981,1502.0,normal
2025-01-15 09:00:37,37,60.04,0.2006,10.016,1504.2,normal
2025-01-15 09:00:38,38,60.08,0.2001,10.034,1494.8,normal
2025-01-15 09:00:39,39,60.03,0.1946,9.99,1501.4,normal
2025-01-15 09:00:40,40,59.86,0.2007,10.056,1499.8,normal
2025-01-15 09:00:41,41,60.25,0.201,9.943,1498.6,normal
2025-01-15 09:00:42,42,60.15,0.1985,10.001,1501.4,normal
2025-01-15 09:00:43,43,60.15,0.201,10.01,1499.7,normal
2025-01-15 09:00:44,44,59.93,0.2017,9.908,1495.4,normal
2025-01-15 09:00:45,45,59.82,0.1956,10.031,1498.2,normal
2025-01-15 09:00:46,46,59.85,0.2019,10.036,1500.0,normal
2025-01-15 09:00:47,47,59.89,0.199,10.086,1497.8,normal
2025-01-15 09:00:48,48,60.09,0.1976,9.998,1496.0,normal
2025-01-15 09:00:49,49,60.09,0.2003,10.03,1507.5,normal
2025-01-15 09:00:50,50,60.15,0.1983,10.033,1504.4,normal
2025-01-15 09:00:51,51,60.21,0.1989,9.918,1504.0,normal
2025-01-15 09:00:52,52,60.05,0.1978,10.015,1500.4,normal
2025-01-15 09:00:53,53,60.04,0.1985,9.928,1493.8,normal
2025-01-15 09:00:54,54,59.96,0.1974,10.014,1499.2,normal
2025-01-15 09:00:55,55,59.97,0.1986,10.037,1501.6,normal
2025-01-15 09:00:56,56,59.88,0.1976,10.014,1498.7,normal
2025-01-15 09:00:57,57,60.05,0.1971,9.897,1498.3,normal
2025-01-15 09:00:58,58,60.03,0.2021,10.073,1501.1,normal
2025-01-15 09:00:59,59,59.96,0.2,10.015,1506.4,normal
2025-01-15 09:01:00,60,59.92,0.2008,10.05,1501.0,normal
2025-01-15 09:01:01,61,60.05,0.2035,9.966,1500.5,normal
2025-01-15 09:01:02,62,60.13,0.2013,9.981,1497.9,normal
2025-01-15 09:01:03,63,60.01,0.2,10.104,1504.7,normal
2025-01-15 09:01:04,64,60.03,0.1977,9.99,1501.2,normal
2025-01-15 09:01:05,65,59.95,0.2016,9.979,1500.1,normal
2025-01-15 09:01:06,66,59.98,0.2009,9.981,1499.4,normal
2025-01-15 09:01:07,67,59.97,0.2021,10.05,1498.6,normal
2025-01-15 09:01:08,68,59.97,0.1997,9.921,1501.1,normal
2025-01-15 09:01:09,69,59.94,0.1992,9.984,1506.6,normal
2025-01-15 09:01:10,70,60.04,0.1956,9.956,1500.7,normal
2025-01-15 09:01:11,71,60.13,0.2011,10.125,1502.1,normal
2025-01-15 09:01:12,72,59.91,0.1967,10.054,1498.2,normal
2025-01-15 09:01:13,73,60.14,0.1989,10.005,1501.5,normal
