timestamp,operating_time_sec,temperature_c,vibration_g,current_a,rpm,fault_type
2025-01-15 09:00:00,0,59.97,0.1973,10.08,1497.4,overload
2025-01-15 09:00:01,1,59.92,0.2019,10.026,1500.6,overload
2025-01-15 09:00:02,2,60.01,0.1988,9.997,1497.3,overload
2025-01-15 09:00:03,3,59.93,0.2004,9.888,1502.6,overload
2025-01-15 09:00:04,4,60.02,0.1981,10.049,1503.6,overload
2025-01-15 09:00:05,5,60.24,0.2044,10.123,1500.6,overload
2025-01-15 09:00:06,6,60.04,0.1981,10.124,1498.9,overload
2025-01-15 09:00:07,7,60.08,0.2003,10.025,1500.4,overload
2025-01-15 09:00:08,8,59.92,0.1993,9.969,1499.2,overload
2025-01-15 09:00:09,9,59.91,0.2043,10.046,1498.0,overload
2025-01-15 09:00:10,10,60.08,0.2006,9.899,1498.7,overload
2025-01-15 09:00:11,11,59.9,0.198,9.976,1500.4,overload
2025-01-15 09:00:12,12,59.91,0.1992,10.032,1502.6,overload
2025-01-15 09:00:13,13,60.04,0.1983,10.023,1501.3,overload
2025-01-15 09:00:14,14,59.95,0.1981,10.02,1497.6,overload
2025-01-15 09:00:15,15,60.06,0.1998,9.925,1494.6,overload
2025-01-15 09:00:16,16,59.91,0.1972,9.904,1497.0,overload
2025-01-15 09:00:17,17,60.09,0.2015,10.015,1498.3,overload
2025-01-15 09:00:18,18,59.77,0.1964,10.048,1502.7,overload
2025-01-15 09:00:19,19,59.91,0.2002,9.983,1499.3,overload
2025-01-15 09:00:20,20,59.87,0.2015,9.942,1495.1,overload
2025-01-15 09:00:21,21,60.02,0.201,10.019,1503.5,overload
2025-01-15 09:00:22,22,59.85,0.2037,10.064,1503.3,overload
2025-01-15 09:00:23,23,60.1,0.2005,10.003,1500.4,overload
2025-01-15 09:00:24,24,59.9,0.2021,9.954,1495.9,overload
2025-01-15 09:00:25,25,60.1,0.1989,10.099,1498.6,overload
2025-01-15 09:00:26,26,60.0,0.2038,10.053,1500.4,overload
2025-01-15 09:00:27,27,60.1,0.1951,9.988,1500.7,overload
2025-01-15 09:00:28,28,60.11,0.2006,9.998,1497.6,overload
2025-01-15 09:00:29,29,59.94,0.1984,9.958,1497.9,overload
2025-01-15 09:00:30,30,60.01,0.2018,10.073,1504.7,overload
2025-01-15 09:00:31,31,60.07,0.1981,9.968,1494.8,overload
2025-01-15 09:00:32,32,60.02,0.1999,9.943,1504.6,overload
2025-01-15 09:00:33,33,60.13,0.2009,9.997,1496.9,overload
2025-01-15 09:00:34,34,60.13,0.1982,10.114,1503.8,overload
2025-01-15 09:00:35,35,59.97,0.2002,9.839,1501.5,overload
2025-01-15 09:00:36,36,59.82,0.2013,9.933,1501.7,overload
2025-01-15 09:00:37,37,60.0,0.1994,10.047,1500.4,overload
2025-01-15 09:00:38,38,60.14,0.1989,10.02,1505.0,overload
2025-01-15 09:00:39,39,59.97,0.2,10.011,1501.5,overload
2025-01-15 09:00:40,40,59.96,0.2038,10.006,1499.9,overload
2025-01-15 09:00:41,41,59.96,0.1985,9.985,1495.9,overload
2025-01-15 09:00:42,42,60.06,0.2019,10.024,1501.4,overload
2025-01-15 09:00:43,43,60.14,0.1959,10.021,1501.0,overload
2025-01-15 09:00:44,44,59.81,0.1981,9.988,1498.8,overload
2025-01-15 09:00:45,45,60.07,0.2002,9.94,1496.9,overload
2025-01-15 09:00:46,46,59.94,0.2017,9.965,1500.3,overload
2025-01-15 09:00:47,47,59.85,0.1995,9.922,1500.8,overload
2025-01-15 09:00:48,48,60.1,0.2006,10.026,1499.2,overload
2025-01-15 09:00:49,49,59.97,0.1972,10.001,1504.7,overload
2025-01-15 09:00:50,50,59.94,0.1982,10.044,1501.9,overload
2025-01-15 09:00:51,51,59.99,0.2016,10.071,1495.5,overload
2025-01-15 09:00:52,52,59.9,0.2003,9.996,1497.4,overload
2025-01-15 09:00:53,53,60.06,0.1998,10.034,1506.2,overload
2025-01-15 09:00:54,54,59.93,0.1971,9.986,1501.3,overload
2025-01-15 09:00:55,55,60.2,0.2034,10.035,1502.1,overload
2025-01-15 09:00:56,56,60.06,0.2029,9.939,1498.3,overload
2025-01-15 09:00:57,57,59.96,0.1997,10.006,1499.7,overload
2025-01-15 09:00:58,58,59.99,0.2011,9.983,1499.1,overload
2025-01-15 09:00:59,59,59.9,0.1977,10.025,1496.3,overload
2025-01-15 09:01:00,60,60.06,0.2016,10.009,1495.4,overload
2025-01-15 09:01:01,61,60.06,0.2003,9.945,1498.9,overload
2025-01-15 09:01:02,62,59.81,0.1994,10.08,1499.3,overload
2025-01-15 09:01:03,63,60.02,0.196,10.007,1497.1,overload
2025-01-15 09:01:04,64,60.07,0.1983,9.961,1499.7,overload
2025-01-15 09:01:05,65,60.09,0.197,10.038,1497.8,overload
2025-01-15 09:01:06,66,59.96,0.2019,9.967,1507.0,overload
2025-01-15 09:01:07,67,59.94,0.1988,9.946,1496.7,overload
2025-01-15 09:01:08,68,60.0,0.2033,10.062,1507.9,overload
2025-01-15 09:01:09,69,60.08,0.201,10.031,1500.2,overload
2025-01-15 09:01:10,70,60.05,0.1986,9.953,1501.1,overload
2025-01-15 09:01:11,71,60.03,0.2027,10.0,1499.6,overload
2025-01-15 09:01:12,72,59.98,0.2025,10.062,1500.9,overload
2025-01-15 09:01:13,73,59.92,0.2005,10.013,1502.2,overload
2025-01-15 09:01:14,74,59.85,0.1962,10.028,1500.0,overload
2025-01-15 09:01:15,75,60.04,0.2014,10.0,1499.7,overload
2025-01-15 09:01:16,76,59.96,0.2017,10.039,1500.9,overload
2025-01-15 09:01:17,77,60.03,0.2012,10.084,1501.1,overload
2025-01-15 09:01:18,78,60.26,0.1984,10.032,1503.5,overload
2025-01-15 09:01:19,79,59.86,0.1974,9.992,1505.9,overload
2025-01-15 09:01:20,80,60.13,0.1969,9.987,1497.9,overload
2025-01-15 09:01:21,81,59.91,0.1965,10.023,1501.0,overload
2025-01-15 09:01:22,82,59.97,0.1983,9.999,1499.8,overload
2025-01-15 09:01:23,83,59.94,0.2022,10.035,1498.3,overload
